species	shape	color	size	parts	accent	ears	tail	mark
bulbasaur	quadruped	green	small	plant,drip	teal	pointed	none	spots
ivysaur	quadruped	green	medium	plant,drip	teal	pointed	none	spots
venusaur	quadruped	green	large	plant,drip	teal	pointed	none	spots
charmander	upright	red	small	flame	cream	none	flame	belly
charmeleon	upright	red	medium	flame,horn	cream	none	flame	none
charizard	upright	red	large	flame,wing	cream	none	flame	belly
squirtle	upright	blue	tiny	fin	cream	round	curl	belly
wartortle	upright	blue	small	fin	cream	round	bushy	belly
blastoise	upright	blue	large	fin,plate	cream	none	thin	belly
caterpie	armor	green	tiny	antenna	yellow	none	none	band
metapod	squiggle	green	small	antenna	green	none	none	none
butterfree	bug-wings	white	medium	antenna,wing	purple	none	none	none
weedle	armor	brown	tiny	antenna,drip,horn	cream	none	spike	none
kakuna	squiggle	yellow	small	antenna,drip	brown	none	none	none
beedrill	bug-wings	yellow	small	antenna,drip	black	none	spike	stripes
pidgey	wings	brown	tiny	wing	cream	tuft	fan	none
pidgeotto	wings	brown	medium	wing	red	tuft	fan	none
pidgeot	wings	brown	large	wing	red	tuft	fan	stripes
rattata	quadruped	purple	tiny		cream	round	thin	belly
raticate	quadruped	brown	small		cream	pointed	thin	belly
spearow	wings	brown	tiny	wing	tan	tuft	fan	mask
fearow	wings	brown	large	wing	tan	tuft	fan	none
ekans	squiggle	purple	large	drip	cream	none	none	band
arbok	squiggle	purple	large	drip	cream	none	spike	mask
pikachu	upright	yellow	small	spark	red	long	bolt	cheeks
raichu	upright	yellow	medium	spark	orange	long	bolt	cheeks
sandshrew	upright	yellow	small	spike	cream	round	curl	belly
sandslash	upright	yellow	medium	spike	cream	round	spike	spots
nidoran-f	quadruped	blue	tiny	drip	cream	long	thin	none
nidorina	quadruped	blue	small	drip	cream	long	thin	none
nidoqueen	upright	blue	large	drip,spike,plate	cream	pointed	spike	belly
nidoran-m	quadruped	purple	tiny	drip	cream	long	thin	spots
nidorino	quadruped	purple	small	drip	cream	pointed	spike	spots
nidoking	upright	purple	large	drip,spike,plate	cream	pointed	spike	stripes
clefairy	upright	pink	small	sparkle	pink	pointed	curl	none
clefable	upright	pink	medium	sparkle	cream	long	curl	none
vulpix	quadruped	brown	small	flame	cream	pointed	bushy	none
ninetales	quadruped	yellow	large	flame,sparkle	cream	pointed	bushy	none
jigglypuff	humanoid	pink	tiny	sparkle	cream	round	curl	none
wigglytuff	humanoid	pink	medium	sparkle	cream	long	curl	none
zubat	wings	purple	small	drip,wing	purple	none	none	none
golbat	wings	purple	large	drip,wing	purple	none	none	none
oddish	legs	blue	tiny	plant,drip	navy	none	none	none
gloom	humanoid	blue	small	plant,drip	brown	none	none	none
vileplume	humanoid	red	medium	plant,drip	red	none	none	spots
paras	armor	red	tiny	antenna,plant	orange	none	none	spots
parasect	armor	red	medium	antenna,plant	red	none	none	spots
venonat	humanoid	purple	small	antenna,drip	purple	round	none	none
venomoth	bug-wings	purple	medium	antenna,drip	purple	none	none	none
diglett	blob	brown	tiny	spike	pink	none	none	none
dugtrio	heads	brown	medium	spike	pink	none	none	none
meowth	quadruped	yellow	tiny	sparkle	cream	pointed	curl	none
persian	quadruped	yellow	medium	sparkle	cream	pointed	thin	none
psyduck	upright	yellow	small	fin	cream	none	none	none
golduck	upright	blue	medium	fin	cream	fin	thin	none
mankey	upright	brown	tiny	band	cream	round	thin	none
primeape	upright	brown	medium	band	cream	round	thin	band
growlithe	quadruped	brown	small	flame	cream	pointed	bushy	stripes
arcanine	quadruped	brown	large	flame	cream	pointed	bushy	stripes
poliwag	legs	blue	small	fin	cream	none	thin	swirl
poliwhirl	humanoid	blue	small	fin	cream	none	none	swirl
poliwrath	humanoid	blue	medium	fin,band	cream	none	none	swirl
abra	upright	brown	small	aura	cream	pointed	thin	none
kadabra	upright	brown	medium	aura	cream	pointed	thin	stripes
alakazam	humanoid	brown	large	aura,horn	cream	pointed	thin	none
machop	upright	gray	small	band	gray	pointed	none	none
machoke	humanoid	gray	medium	band	gray	pointed	none	band
machamp	humanoid	gray	large	band,plate	gray	pointed	none	none
bellsprout	humanoid	green	small	plant,drip	green	none	none	none
weepinbell	blob	green	small	plant,drip	green	none	none	none
victreebel	blob	green	large	plant,drip	yellow	none	none	none
tentacool	tentacles	blue	small	fin,drip	red	none	none	none
tentacruel	tentacles	blue	large	fin,drip	red	none	none	none
geodude	arms	brown	tiny	spike	gray	none	none	none
graveler	humanoid	brown	medium	spike	gray	none	none	none
golem	humanoid	brown	large	spike	green	none	none	band
ponyta	quadruped	yellow	small	flame	cream	pointed	flame	none
rapidash	quadruped	yellow	large	flame,horn	cream	pointed	flame	none
slowpoke	quadruped	pink	medium	fin,aura	cream	round	curl	none
slowbro	upright	pink	medium	fin,aura	cream	round	curl	belly
magnemite	arms	gray	tiny	spark,plate	gray	none	none	none
magneton	heads	gray	medium	spark,plate	gray	none	none	none
farfetchd	wings	brown	small	wing,plant	cream	tuft	fan	none
doduo	legs	brown	medium	wing	cream	tuft	fan	none
dodrio	legs	brown	large	wing	cream	tuft	fan	none
seel	fish	white	medium	fin,horn	cream	none	fin	none
dewgong	fish	white	large	fin,crystal,horn	cream	fin	fin	none
grimer	arms	purple	small	drip	purple	none	none	none
muk	arms	purple	medium	drip	purple	none	none	none
shellder	ball	purple	tiny	fin	purple	none	none	none
cloyster	ball	purple	medium	fin,crystal,spike	purple	none	spike	none
gastly	ball	purple	medium	aura,drip	purple	none	none	none
haunter	arms	purple	medium	aura,drip	purple	none	none	none
gengar	upright	purple	medium	aura,drip	purple	pointed	spike	none
onix	squiggle	gray	large	spike,horn	gray	none	none	none
drowzee	humanoid	yellow	small	aura	cream	pointed	none	band
hypno	humanoid	yellow	medium	aura	cream	pointed	none	none
krabby	armor	red	tiny	fin	cream	none	none	none
kingler	armor	red	medium	fin	cream	none	none	none
voltorb	ball	red	tiny	spark	white	none	none	band
electrode	ball	red	medium	spark	white	none	none	band
exeggcute	heads	pink	tiny	plant,aura	cream	none	none	none
