# 施設の相手プール（docs/design/endgame.md §6）。
#
# 施設の相手は手書きのパーティではなく、この1体単位のプールから抽選して組む。
# 1件足す = コンテンツが増える。施設側のコードは触らない。
#
# grade は強さの段階。連勝数に応じて使うプールが切り替わる。
# 個体値は grade から導出するため、ここには書かない（DEFAULT_IVS_BY_GRADE）。
# tags は噛み合う組を選ぶための印。v0.5 では抽選の偏り防止にのみ使う。
id	species	moves	item	ability	nature	evs	grade	tags
# ── grade 1 ── 連勝 1〜10。持ち物は素直な強化アイテムだけ
g1-butterfree	butterfree	confusion/sleep-powder/bug-buzz/gust	silver-powder	compound-eyes	modest	spa:252,spe:252	1	status
g1-beedrill	beedrill	poison-jab/x-scissor/swords-dance/aerial-ace	poison-barb	swarm	adamant	atk:252,spe:252	1	setup
g1-raticate	raticate	body-slam/crunch/quick-attack/swords-dance	silk-scarf	guts	jolly	atk:252,spe:252	1	
g1-fearow	fearow	drill-peck/body-slam/aerial-ace/agility	sharp-beak	keen-eye	jolly	atk:252,spe:252	1	
g1-arbok	arbok	poison-jab/crunch/earthquake/toxic	poison-barb	intimidate	adamant	atk:252,hp:252	1	
g1-pikachu	pikachu	thunderbolt/thunder-wave/quick-attack/iron-head	magnet	static	jolly	atk:252,spe:252	1	status
g1-sandslash	sandslash	earthquake/rock-slide/swords-dance/brick-break	soft-sand	sand-veil	adamant	atk:252,hp:252	1	setup
g1-nidorina	nidorina	body-slam/poison-sting/double-kick/charm	poison-barb	poison-point	impish	hp:252,def:252	1	
g1-clefable	clefable	dazzling-gleam/psychic/sing/recover	leftovers	cute-charm	calm	hp:252,spd:252	1	stall
g1-ninetales	ninetales	flamethrower/will-o-wisp/dark-pulse/confuse-ray	charcoal	flash-fire	timid	spa:252,spe:252	1	status
g1-golbat	golbat	wing-attack/bite/supersonic/toxic	sharp-beak	inner-focus	jolly	atk:252,spe:252	1	status
g1-parasect	parasect	x-scissor/giga-drain/sleep-powder/stun-spore	miracle-seed	effect-spore	adamant	atk:252,hp:252	1	status
g1-venomoth	venomoth	bug-buzz/sludge-bomb/sleep-powder/psybeam	silver-powder	shield-dust	modest	spa:252,spe:252	1	status
g1-dugtrio	dugtrio	earthquake/rock-slide/aerial-ace/magnitude	soft-sand	sand-veil	jolly	atk:252,spe:252	1	
g1-farfetchd	farfetchd	aerial-ace/brick-break/swords-dance/body-slam	scope-lens	keen-eye	adamant	atk:252,spe:252	1	setup
g1-dewgong	dewgong	surf/ice-beam/toxic/body-slam	never-melt-ice	thick-fat	calm	hp:252,spd:252	1	stall
# ── grade 2 ── 連勝 11〜20。役割の噛み合いを意識した構成
g2-persian	persian	body-slam/crunch/quick-attack/swords-dance	silk-scarf	limber	jolly	atk:252,spe:252	2	
g2-poliwrath	poliwrath	waterfall/brick-break/ice-punch/bulldoze	mystic-water	water-absorb	adamant	atk:252,hp:252	2	
g2-kadabra	kadabra	psychic/dazzling-gleam/calm-mind/recover	twisted-spoon	synchronize	timid	spa:252,spe:252	2	setup
g2-machoke	machoke	cross-chop/rock-slide/bulldoze/bite	black-belt	guts	adamant	atk:252,hp:252	2	
g2-victreebel	victreebel	giga-drain/sludge-bomb/sleep-powder/swords-dance	miracle-seed	chlorophyll	modest	spa:252,spe:252	2	status
