species	gen	learnset	tm
bulbasaur	9	1:growl,1:tackle,3:vine-whip,12:razor-leaf,15:poison-powder,15:sleep-powder,18:seed-bomb,21:take-down,24:sweet-scent,33:power-whip,36:solar-beam	bullet-seed,cut,double-team,flash,giga-drain,rock-smash,sludge-bomb,solar-beam,strength,sunny-day,toxic
ivysaur	9	1:growl,1:tackle,1:vine-whip,12:razor-leaf,15:poison-powder,15:sleep-powder,20:seed-bomb,25:take-down,30:sweet-scent,45:power-whip,50:solar-beam	bullet-seed,cut,double-team,flash,giga-drain,rock-smash,sludge-bomb,solar-beam,strength,sunny-day,toxic
venusaur	9	1:growl,1:petal-blizzard,1:tackle,1:vine-whip,12:razor-leaf,15:poison-powder,15:sleep-powder,20:seed-bomb,25:take-down,30:sweet-scent,51:power-whip,58:solar-beam	bullet-seed,cut,double-team,earthquake,flash,giga-drain,hyper-beam,rock-smash,sludge-bomb,solar-beam,strength,sunny-day,toxic
charmander	9	1:growl,1:scratch,4:ember,8:smokescreen,12:dragon-breath,20:slash,24:flamethrower,28:scary-face,36:inferno,40:flare-blitz	aerial-ace,brick-break,cut,dig,double-team,dragon-claw,fire-blast,flamethrower,iron-tail,overheat,rock-smash,strength,sunny-day,toxic
charmeleon	9	1:ember,1:growl,1:scratch,1:smokescreen,12:dragon-breath,24:slash,30:flamethrower,37:scary-face,48:inferno,54:flare-blitz	aerial-ace,brick-break,cut,dig,double-team,dragon-claw,fire-blast,flamethrower,iron-tail,overheat,rock-smash,strength,sunny-day,toxic
charizard	9	1:air-slash,1:dragon-claw,1:ember,1:growl,1:heat-wave,1:scratch,1:smokescreen,12:dragon-breath,24:slash,30:flamethrower,39:scary-face,54:inferno,62:flare-blitz	aerial-ace,brick-break,cut,dig,double-team,dragon-claw,earthquake,fire-blast,flamethrower,fly,hyper-beam,iron-tail,overheat,rock-smash,strength,sunny-day,toxic
squirtle	9	1:tackle,1:tail-whip,3:water-gun,6:withdraw,9:rapid-spin,12:bite,15:water-pulse,21:rain-dance,24:aqua-tail,30:iron-defense,33:hydro-pump,36:wave-crash	blizzard,brick-break,dig,double-team,hail,ice-beam,iron-tail,rain-dance,rock-smash,strength,surf,toxic,water-pulse,waterfall
wartortle	9	1:tackle,1:tail-whip,1:water-gun,1:withdraw,9:rapid-spin,12:bite,15:water-pulse,25:rain-dance,30:aqua-tail,40:iron-defense,45:hydro-pump,50:wave-crash	blizzard,brick-break,dig,double-team,hail,ice-beam,iron-tail,rain-dance,rock-smash,strength,surf,toxic,water-pulse,waterfall
blastoise	9	1:flash-cannon,1:tackle,1:tail-whip,1:water-gun,1:withdraw,9:rapid-spin,12:bite,15:water-pulse,25:rain-dance,30:aqua-tail,42:iron-defense,49:hydro-pump,56:wave-crash	blizzard,brick-break,dig,double-team,earthquake,hail,hyper-beam,ice-beam,iron-tail,rain-dance,rock-smash,strength,surf,toxic,water-pulse,waterfall
caterpie	8	1:string-shot,1:tackle,9:bug-bite	
metapod	8	1:harden	
butterfree	8	1:bug-bite,1:gust,1:harden,1:string-shot,1:tackle,4:supersonic,8:confusion,12:poison-powder,12:sleep-powder,12:stun-spore,16:psybeam,24:air-slash,28:safeguard,32:bug-buzz	aerial-ace,double-team,flash,giga-drain,hyper-beam,psychic,rain-dance,safeguard,shadow-ball,solar-beam,sunny-day,toxic
weedle	7	1:poison-sting,1:string-shot,9:bug-bite	
kakuna	7	1:harden	
beedrill	7	1:fury-attack,1:twineedle,23:venoshock,26:assurance,32:pin-missile,35:poison-jab,38:agility,44:fell-stinger	aerial-ace,brick-break,cut,double-team,giga-drain,hyper-beam,rock-smash,sludge-bomb,solar-beam,sunny-day,toxic
pidgey	7	1:tackle,5:sand-attack,9:gust,13:quick-attack,21:twister,25:feather-dance,29:agility,33:wing-attack,49:air-slash,53:hurricane	aerial-ace,double-team,fly,rain-dance,sunny-day,toxic
pidgeotto	7	1:gust,1:sand-attack,1:tackle,13:quick-attack,22:twister,27:feather-dance,32:agility,37:wing-attack,57:air-slash,62:hurricane	aerial-ace,double-team,fly,rain-dance,sunny-day,toxic
pidgeot	7	1:gust,1:hurricane,1:quick-attack,1:sand-attack,1:tackle,22:twister,27:feather-dance,32:agility,38:wing-attack,62:air-slash	aerial-ace,double-team,fly,hyper-beam,rain-dance,sunny-day,toxic
rattata	7	1:tackle,1:tail-whip,4:quick-attack,10:bite,16:hyper-fang,19:assurance,22:crunch,31:double-edge	blizzard,cut,dig,double-team,ice-beam,iron-tail,rain-dance,rock-smash,shadow-ball,shock-wave,sunny-day,thunder,thunderbolt,toxic
raticate	7	1:quick-attack,1:scary-face,1:swords-dance,1:tackle,1:tail-whip,10:bite,16:hyper-fang,19:assurance,24:crunch,39:double-edge	blizzard,cut,dig,double-team,hyper-beam,ice-beam,iron-tail,rain-dance,rock-smash,shadow-ball,shock-wave,strength,sunny-day,thunder,thunderbolt,toxic
spearow	7	1:growl,1:peck,4:leer,11:fury-attack,15:aerial-ace,22:assurance,25:agility,36:drill-peck	aerial-ace,double-team,fly,rain-dance,sunny-day,toxic
fearow	7	1:drill-run,1:growl,1:leer,1:peck,1:pluck,11:fury-attack,15:aerial-ace,23:assurance,27:agility,41:drill-peck	aerial-ace,double-team,fly,hyper-beam,rain-dance,sunny-day,toxic
ekans	9	1:leer,4:poison-sting,9:bite,12:glare,17:screech,20:acid,28:acid-spray,33:sludge-bomb,49:gunk-shot	dig,double-team,earthquake,giga-drain,iron-tail,rain-dance,sludge-bomb,strength,sunny-day,toxic
arbok	9	1:bite,1:crunch,1:leer,1:poison-sting,12:glare,17:screech,20:acid,32:acid-spray,39:sludge-bomb,63:gunk-shot	dig,double-team,earthquake,giga-drain,hyper-beam,iron-tail,rain-dance,sludge-bomb,strength,sunny-day,toxic
pikachu	9	1:charm,1:growl,1:nasty-plot,1:nuzzle,1:play-nice,1:quick-attack,1:sweet-kiss,1:tail-whip,1:thunder-shock,4:thunder-wave,8:double-team,16:feint,20:spark,24:agility,28:iron-tail,32:discharge,36:thunderbolt,40:light-screen,44:thunder	brick-break,dig,double-team,flash,iron-tail,light-screen,rain-dance,rock-smash,shock-wave,strength,thunder,thunderbolt,toxic
raichu	9	1:agility,1:charm,1:discharge,1:double-team,1:feint,1:growl,1:iron-tail,1:light-screen,1:nasty-plot,1:nuzzle,1:play-nice,1:quick-attack,1:spark,1:sweet-kiss,1:tail-whip,1:thunder,1:thunder-punch,1:thunder-shock,1:thunder-wave,5:thunderbolt	brick-break,dig,double-team,flash,hyper-beam,iron-tail,light-screen,rain-dance,rock-smash,shock-wave,strength,thunder,thunderbolt,toxic
sandshrew	9	1:scratch,3:poison-sting,6:sand-attack,15:rapid-spin,18:bulldoze,21:swift,24:fury-swipes,27:agility,30:slash,33:dig,39:swords-dance,42:sandstorm,45:earthquake	aerial-ace,brick-break,cut,dig,double-team,earthquake,iron-tail,rock-smash,rock-tomb,sandstorm,strength,sunny-day,toxic
sandslash	9	1:poison-sting,1:sand-attack,1:scratch,15:rapid-spin,18:bulldoze,21:swift,26:fury-swipes,36:slash,41:dig,51:swords-dance,56:sandstorm,61:earthquake	aerial-ace,brick-break,cut,dig,double-team,earthquake,hyper-beam,iron-tail,rock-smash,rock-tomb,sandstorm,strength,sunny-day,toxic
nidoran-f	8	1:growl,1:poison-sting,5:scratch,10:tail-whip,15:fury-swipes,25:double-kick,30:bite,40:toxic,50:crunch,55:earth-power	aerial-ace,blizzard,cut,dig,double-team,ice-beam,iron-tail,rain-dance,rock-smash,shock-wave,sludge-bomb,strength,sunny-day,thunder,thunderbolt,toxic,water-pulse
nidorina	8	1:growl,1:poison-sting,1:scratch,1:tail-whip,15:fury-swipes,29:double-kick,36:bite,50:toxic,64:crunch,71:earth-power	aerial-ace,blizzard,cut,dig,double-team,ice-beam,iron-tail,rain-dance,rock-smash,shock-wave,sludge-bomb,strength,sunny-day,thunder,thunderbolt,toxic,water-pulse
nidoqueen	8	1:bite,1:crunch,1:double-kick,1:earth-power,1:fury-swipes,1:growl,1:poison-sting,1:scratch,1:tail-whip,1:toxic	aerial-ace,blizzard,brick-break,cut,dig,double-team,earthquake,fire-blast,flamethrower,hyper-beam,ice-beam,iron-tail,rain-dance,rock-smash,rock-tomb,sandstorm,shadow-ball,shock-wave,sludge-bomb,strength,sunny-day,surf,thunder,thunderbolt,toxic,water-pulse
nidoran-m	8	1:leer,1:poison-sting,5:peck,15:fury-attack,25:double-kick,30:horn-attack,40:toxic,50:poison-jab,55:earth-power	blizzard,cut,dig,double-team,ice-beam,iron-tail,rain-dance,rock-smash,shock-wave,sludge-bomb,strength,sunny-day,thunder,thunderbolt,toxic,water-pulse
nidorino	8	1:leer,1:peck,1:poison-sting,15:fury-attack,29:double-kick,36:horn-attack,50:toxic,64:poison-jab,71:earth-power	blizzard,cut,dig,double-team,ice-beam,iron-tail,rain-dance,rock-smash,shock-wave,sludge-bomb,strength,sunny-day,thunder,thunderbolt,toxic,water-pulse
nidoking	8	1:double-kick,1:earth-power,1:fury-attack,1:horn-attack,1:leer,1:megahorn,1:peck,1:poison-jab,1:poison-sting,1:toxic	blizzard,brick-break,cut,dig,double-team,earthquake,fire-blast,flamethrower,hyper-beam,ice-beam,iron-tail,rain-dance,rock-smash,rock-tomb,sandstorm,shadow-ball,shock-wave,sludge-bomb,strength,sunny-day,surf,thunder,thunderbolt,toxic,water-pulse
clefairy	9	1:charm,1:disarming-voice,1:growl,1:pound,1:sing,1:splash,1:sweet-kiss,4:stored-power,16:life-dew,32:meteor-mash,44:moonblast	blizzard,brick-break,calm-mind,dig,double-team,fire-blast,flamethrower,flash,ice-beam,iron-tail,light-screen,psychic,rain-dance,reflect,safeguard,shadow-ball,shock-wave,solar-beam,strength,sunny-day,thunder,thunderbolt,toxic,water-pulse
clefable	9	1:charm,1:disarming-voice,1:growl,1:life-dew,1:meteor-mash,1:moonblast,1:pound,1:sing,1:splash,1:stored-power,1:sweet-kiss	blizzard,brick-break,calm-mind,dig,double-team,fire-blast,flamethrower,flash,hyper-beam,ice-beam,iron-tail,light-screen,psychic,rain-dance,reflect,safeguard,shadow-ball,shock-wave,solar-beam,strength,sunny-day,thunder,thunderbolt,toxic,water-pulse
vulpix	9	1:ember,1:tail-whip,8:quick-attack,16:incinerate,20:confuse-ray,24:will-o-wisp,28:extrasensory,32:flamethrower,44:safeguard,48:inferno,52:fire-blast	dig,double-team,fire-blast,flamethrower,iron-tail,overheat,safeguard,sunny-day,toxic
ninetales	9	1:confuse-ray,1:ember,1:extrasensory,1:fire-blast,1:flamethrower,1:incinerate,1:inferno,1:nasty-plot,1:quick-attack,1:safeguard,1:tail-whip,1:will-o-wisp	dig,double-team,fire-blast,flamethrower,hyper-beam,iron-tail,overheat,safeguard,sunny-day,toxic
jigglypuff	9	1:charm,1:disarming-voice,1:pound,1:sing,1:sweet-kiss,8:covet,16:round,24:body-slam,36:hyper-voice,44:double-edge	blizzard,brick-break,dig,double-team,fire-blast,flamethrower,flash,ice-beam,light-screen,psychic,rain-dance,reflect,safeguard,shadow-ball,shock-wave,solar-beam,strength,sunny-day,thunder,thunderbolt,toxic,water-pulse
wigglytuff	9	1:body-slam,1:charm,1:covet,1:disarming-voice,1:double-edge,1:hyper-voice,1:pound,1:round,1:sing,1:sweet-kiss,5:play-rough	blizzard,brick-break,dig,double-team,fire-blast,flamethrower,flash,hyper-beam,ice-beam,light-screen,psychic,rain-dance,reflect,safeguard,shadow-ball,shock-wave,solar-beam,strength,sunny-day,thunder,thunderbolt,toxic,water-pulse
zubat	8	1:absorb,1:supersonic,5:astonish,15:poison-fang,25:air-cutter,30:bite,40:venoshock,45:confuse-ray,50:air-slash,55:leech-life	aerial-ace,double-team,giga-drain,rain-dance,shadow-ball,sludge-bomb,sunny-day,toxic
golbat	8	1:absorb,1:astonish,1:screech,1:supersonic,15:poison-fang,27:air-cutter,34:bite,48:venoshock,55:confuse-ray,62:air-slash,69:leech-life	aerial-ace,double-team,giga-drain,hyper-beam,rain-dance,shadow-ball,sludge-bomb,sunny-day,toxic
oddish	9	1:absorb,4:acid,8:sweet-scent,12:mega-drain,14:poison-powder,16:stun-spore,18:sleep-powder,20:giga-drain,24:toxic,28:moonblast	bullet-seed,cut,double-team,flash,giga-drain,sludge-bomb,solar-beam,sunny-day,toxic
gloom	9	1:absorb,1:acid,1:sweet-scent,12:mega-drain,14:poison-powder,16:stun-spore,18:sleep-powder,20:giga-drain,26:toxic,32:moonblast	bullet-seed,cut,double-team,flash,giga-drain,sludge-bomb,solar-beam,sunny-day,toxic
vileplume	9	1:absorb,1:acid,1:giga-drain,1:mega-drain,1:moonblast,1:petal-blizzard,1:poison-powder,1:sleep-powder,1:stun-spore,1:sweet-scent,1:toxic	bullet-seed,cut,double-team,flash,giga-drain,hyper-beam,sludge-bomb,solar-beam,sunny-day,toxic
paras	7	1:scratch,6:poison-powder,6:stun-spore,11:absorb,22:spore,27:slash,38:giga-drain,54:x-scissor	aerial-ace,bullet-seed,cut,dig,double-team,flash,giga-drain,rock-smash,sludge-bomb,solar-beam,sunny-day,toxic
parasect	7	1:absorb,1:cross-poison,1:poison-powder,1:scratch,1:stun-spore,22:spore,29:slash,44:giga-drain,66:x-scissor	aerial-ace,bullet-seed,cut,dig,double-team,flash,giga-drain,hyper-beam,rock-smash,sludge-bomb,solar-beam,sunny-day,toxic
venonat	9	1:tackle,5:supersonic,11:confusion,13:poison-powder,17:psybeam,23:stun-spore,25:bug-buzz,29:sleep-powder,35:leech-life,37:zen-headbutt,41:poison-fang,47:psychic	double-team,flash,giga-drain,psychic,sludge-bomb,solar-beam,sunny-day,toxic
venomoth	9	1:air-slash,1:supersonic,1:tackle,11:confusion,13:poison-powder,17:psybeam,23:stun-spore,25:bug-buzz,29:sleep-powder,37:leech-life,41:zen-headbutt,47:poison-fang,55:psychic	aerial-ace,double-team,flash,giga-drain,hyper-beam,psychic,sludge-bomb,solar-beam,sunny-day,toxic
diglett	9	1:sand-attack,1:scratch,4:growl,8:astonish,12:mud-slap,16:bulldoze,24:slash,28:sandstorm,32:dig,36:earth-power,40:earthquake	aerial-ace,cut,dig,double-team,earthquake,rock-smash,rock-tomb,sludge-bomb,sunny-day,toxic
dugtrio	9	1:astonish,1:growl,1:night-slash,1:sand-attack,1:scratch,1:tri-attack,12:mud-slap,16:bulldoze,24:slash,30:sandstorm,36:dig,42:earth-power,48:earthquake	aerial-ace,cut,dig,double-team,earthquake,hyper-beam,rock-smash,rock-tomb,sludge-bomb,sunny-day,toxic
meowth	9	1:growl,4:feint,8:scratch,12:pay-day,16:bite,24:assurance,29:fury-swipes,32:screech,36:slash,40:nasty-plot,44:play-rough	aerial-ace,cut,dig,double-team,flash,iron-tail,rain-dance,shadow-ball,shock-wave,sunny-day,thunder,thunderbolt,toxic,water-pulse
persian	9	1:feint,1:growl,1:power-gem,1:scratch,12:pay-day,16:bite,24:assurance,31:fury-swipes,36:screech,42:slash,48:nasty-plot,54:play-rough	aerial-ace,cut,dig,double-team,flash,hyper-beam,iron-tail,rain-dance,shadow-ball,shock-wave,sunny-day,thunder,thunderbolt,toxic,water-pulse
