id	name	type	category	power	accuracy	pp	priority	crit	contact	effect	target
tackle	たいあたり	normal	physical	40	100	35	0	0	1		foe
scratch	ひっかく	normal	physical	40	100	35	0	0	1		foe
pound	はたく	normal	physical	40	100	35	0	0	1		foe
quick-attack	でんこうせっか	normal	physical	40	100	30	1	0	1		foe
fury-attack	みだれづき	normal	physical	15	85	20	0	0	1	multiHit:2:5	foe
headbutt	ずつき	normal	physical	70	100	15	0	0	1	flinch:0.3	foe
body-slam	のしかかり	normal	physical	85	100	15	0	0	1	status:paralysis:0.3	foe
take-down	とっしん	normal	physical	90	85	20	0	0	1	recoil:0.25	foe
double-edge	すてみタックル	normal	physical	120	100	15	0	0	1	recoil:0.33	foe
swift	スピードスター	normal	special	60	-	20	0	0	0		foe
growl	なきごえ	normal	status	-	100	40	0	0	0	statChange:foe:atk:-1:1	foe
tail-whip	しっぽをふる	normal	status	-	100	30	0	0	0	statChange:foe:def:-1:1	foe
harden	かたくなる	normal	status	-	-	30	0	0	0	statChange:self:def:1:1	self
swords-dance	つるぎのまい	normal	status	-	-	20	0	0	0	statChange:self:atk:2:1	self
double-team	かげぶんしん	normal	status	-	-	15	0	0	0	statChange:self:evasion:1:1	self
recover	じこさいせい	normal	status	-	-	5	0	0	0	heal:0.5	self
supersonic	ちょうおんぱ	normal	status	-	55	20	0	0	0	confuse:1	foe
sing	うたう	normal	status	-	55	15	0	0	0	status:sleep:1	foe
ember	ひのこ	fire	special	40	100	25	0	0	0	status:burn:0.1	foe
fire-punch	ほのおのパンチ	fire	physical	75	100	15	0	0	1	status:burn:0.1	foe
flamethrower	かえんほうしゃ	fire	special	90	100	15	0	0	0	status:burn:0.1	foe
fire-blast	だいもんじ	fire	special	110	85	5	0	0	0	status:burn:0.1	foe
will-o-wisp	おにび	fire	status	-	85	15	0	0	0	status:burn:1	foe
water-gun	みずでっぽう	water	special	40	100	25	0	0	0		foe
bubble	あわ	water	special	40	100	30	0	0	0	statChange:foe:spe:-1:0.1	foe
