# ネームドのパーティ。1行 = 1体。
#
# original（原作）… 原作のレベル・構成。持ち物なし・努力値なし・既定特性。
#                    トーナメントではルールセットが Lv50 に同期する。
# serious（本気）  … Lv50・4体・持ち物あり・努力値あり。エンドゲームの入口。
# ultimate（極）   … v1.1（AI smart と同時）。まだ書かない。
#
# 並びは原作準拠で「弱い順・エースが最後」。3対3のカップでは
# signature を必ず残したうえでレベルの高い順に3体が選ばれる（selectParty）。
character	tier	species	level	moves	item	ability	nature	evs
# ── タケシ ──
# ── タケシ ──
brock	original	geodude	12	tackle/rock-throw/harden	-	-	-	-
brock	original	onix	14	rock-throw/bulldoze/harden/bite	-	-	-	-
brock	serious	steelix	50	earthquake/iron-head/stone-edge/iron-defense	rocky-helmet	sturdy	impish	hp:252,def:252
brock	serious	rhyperior	50	earthquake/stone-edge/megahorn/brick-break	assault-vest	solid-rock	adamant	atk:252,hp:252
brock	serious	tyranitar	50	crunch/stone-edge/earthquake/iron-head	hard-stone	sand-stream	adamant	atk:252,hp:252
brock	serious	golem	50	earthquake/stone-edge/brick-break/double-edge	expert-belt	rock-head	adamant	atk:252,hp:252
# ── カスミ ──
misty	original	staryu	18	water-gun/harden/swift	-	-	-	-
misty	original	starmie	21	water-gun/bubble-beam/swift/recover	-	-	-	-
misty	serious	starmie	50	hydro-pump/psychic/ice-beam/recover	life-orb	illuminate	timid	spa:252,spe:252
misty	serious	kingdra	50	hydro-pump/dragon-pulse/ice-beam/agility	choice-specs	sniper	modest	spa:252,spe:252
misty	serious	gyarados	50	waterfall/crunch/iron-head/double-edge	choice-band	intimidate	adamant	atk:252,spe:252
misty	serious	milotic	50	surf/ice-beam/dragon-pulse/recover	leftovers	marvel-scale	bold	hp:252,spd:252
# ── マチス ──
lt-surge	original	voltorb	21	tackle/thunder-shock/supersonic	-	-	-	-
lt-surge	original	pikachu	18	thunder-shock/quick-attack/tail-whip	-	-	-	-
lt-surge	original	raichu	24	thunderbolt/quick-attack/thunder-wave/body-slam	-	-	-	-
lt-surge	serious	raichu	50	thunderbolt/thunder-wave/nuzzle/dazzling-gleam	magnet	static	timid	spa:252,spe:252
lt-surge	serious	electivire	50	thunder-punch/ice-punch/brick-break/thunder-wave	life-orb	motor-drive	adamant	atk:252,spe:252
lt-surge	serious	manectric	50	thunderbolt/flamethrower/thunder-wave/charge-beam	expert-belt	lightning-rod	timid	spa:252,spe:252
lt-surge	serious	magneton	50	thunderbolt/flash-cannon/thunder-wave/discharge	leftovers	magnet-pull	modest	spa:252,hp:252
# ── エリカ ──
erika	original	tangela	24	absorb/vine-whip/stun-spore/sleep-powder	-	-	-	-
erika	original	weepinbell	24	vine-whip/acid/sleep-powder	-	-	-	-
erika	original	vileplume	29	mega-drain/sleep-powder/acid/petal-blizzard	-	-	-	-
erika	serious	vileplume	50	giga-drain/sludge-bomb/sleep-powder/toxic	leftovers	chlorophyll	bold	hp:252,spd:252
erika	serious	roserade	50	giga-drain/sludge-bomb/calm-mind/sleep-powder	miracle-seed	natural-cure	modest	spa:252,spe:252
erika	serious	bellossom	50	petal-blizzard/giga-drain/stun-spore/toxic	sitrus-berry	chlorophyll	calm	hp:252,spd:252
erika	serious	tangrowth	50	power-whip/giga-drain/knock-off/sleep-powder	rocky-helmet	leaf-guard	relaxed	hp:252,def:252
# ── キョウ ──
