# 自動生成（tools/fetch-numbers.ts）。直接編集しないこと。
# 出典: veekun のデータセット（pokedex パッケージ同梱）。PokéAPI と同じ出典。
# name は species.tsv の表記を検証するためだけに置いてある（import.ts が突き合わせる）。
id	name	catch	exp	ev	gender	baseExp
bulbasaur	フシギダネ	45	medium-slow	spa:1	0.875	64
ivysaur	フシギソウ	45	medium-slow	spa:1,spd:1	0.875	142
venusaur	フシギバナ	45	medium-slow	spa:2,spd:1	0.875	236
charmander	ヒトカゲ	45	medium-slow	spe:1	0.875	62
charmeleon	リザード	45	medium-slow	spa:1,spe:1	0.875	142
charizard	リザードン	45	medium-slow	spa:3	0.875	240
squirtle	ゼニガメ	45	medium-slow	def:1	0.875	63
wartortle	カメール	45	medium-slow	def:1,spd:1	0.875	142
blastoise	カメックス	45	medium-slow	spd:3	0.875	239
caterpie	キャタピー	255	medium-fast	hp:1	0.5	39
metapod	トランセル	120	medium-fast	def:2	0.5	72
butterfree	バタフリー	45	medium-fast	spa:2,spd:1	0.5	178
weedle	ビードル	255	medium-fast	spe:1	0.5	39
kakuna	コクーン	120	medium-fast	def:2	0.5	72
beedrill	スピアー	45	medium-fast	atk:2,spd:1	0.5	178
pidgey	ポッポ	255	medium-slow	spe:1	0.5	50
pidgeotto	ピジョン	120	medium-slow	spe:2	0.5	122
pidgeot	ピジョット	45	medium-slow	spe:3	0.5	216
rattata	コラッタ	255	medium-fast	spe:1	0.5	51
raticate	ラッタ	127	medium-fast	spe:2	0.5	145
spearow	オニスズメ	255	medium-fast	spe:1	0.5	52
fearow	オニドリル	90	medium-fast	spe:2	0.5	155
ekans	アーボ	255	medium-fast	atk:1	0.5	58
arbok	アーボック	90	medium-fast	atk:2	0.5	157
pikachu	ピカチュウ	190	medium-fast	spe:2	0.5	112
raichu	ライチュウ	75	medium-fast	spe:3	0.5	218
sandshrew	サンド	255	medium-fast	def:1	0.5	60
sandslash	サンドパン	90	medium-fast	def:2	0.5	158
nidoran-f	ニドラン♀	235	medium-slow	hp:1	0	55
nidorina	ニドリーナ	120	medium-slow	hp:2	0	128
nidoqueen	ニドクイン	45	medium-slow	hp:3	0	227
