# 種族データ。**数値の事実（捕獲率・成長曲線・努力値・性別比・与える経験値）は
# source/species-numbers.tsv が持ち主**（tools/fetch-numbers.ts が公式データから生成）。
# ここに置くのは図鑑番号・名前・タイプ・種族値・特性 ―― 種を1件足すときに人が書く列。
# name は species-numbers.tsv と突き合わせて検証される（import.ts）。
id	dex	name	type1	type2	hp	atk	def	spa	spd	spe	bst	abilities
bulbasaur	1	フシギダネ	grass	poison	45	49	49	65	65	45	318	overgrow
ivysaur	2	フシギソウ	grass	poison	60	62	63	80	80	60	405	overgrow
venusaur	3	フシギバナ	grass	poison	80	82	83	100	100	80	525	overgrow
charmander	4	ヒトカゲ	fire	-	39	52	43	60	50	65	309	blaze
charmeleon	5	リザード	fire	-	58	64	58	80	65	80	405	blaze
charizard	6	リザードン	fire	flying	78	84	78	109	85	100	534	blaze
squirtle	7	ゼニガメ	water	-	44	48	65	50	64	43	314	torrent
wartortle	8	カメール	water	-	59	63	80	65	80	58	405	torrent
blastoise	9	カメックス	water	-	79	83	100	85	105	78	530	torrent
caterpie	10	キャタピー	bug	-	45	30	35	20	20	45	195	shield-dust
metapod	11	トランセル	bug	-	50	20	55	25	25	30	205	shed-skin
butterfree	12	バタフリー	bug	flying	60	45	50	90	80	70	395	compound-eyes
weedle	13	ビードル	bug	poison	40	35	30	20	20	50	195	shield-dust
kakuna	14	コクーン	bug	poison	45	25	50	25	25	35	205	shed-skin
beedrill	15	スピアー	bug	poison	65	90	40	45	80	75	395	swarm
pidgey	16	ポッポ	normal	flying	40	45	40	35	35	56	251	keen-eye
pidgeotto	17	ピジョン	normal	flying	63	60	55	50	50	71	349	keen-eye
pidgeot	18	ピジョット	normal	flying	83	80	75	70	70	101	479	keen-eye
rattata	19	コラッタ	normal	-	30	56	35	25	35	72	253	run-away
raticate	20	ラッタ	normal	-	55	81	60	50	70	97	413	guts
spearow	21	オニスズメ	normal	flying	40	60	30	31	31	70	262	keen-eye
fearow	22	オニドリル	normal	flying	65	90	65	61	61	100	442	keen-eye
ekans	23	アーボ	poison	-	35	60	44	40	54	55	288	intimidate
arbok	24	アーボック	poison	-	60	95	69	65	79	80	448	intimidate
pikachu	25	ピカチュウ	electric	-	35	55	40	50	50	90	320	static
raichu	26	ライチュウ	electric	-	60	90	55	90	80	110	485	static
sandshrew	27	サンド	ground	-	50	75	85	20	30	40	300	sand-veil
sandslash	28	サンドパン	ground	-	75	100	110	45	55	65	450	sand-veil
nidoran-f	29	ニドラン♀	poison	-	55	47	52	40	40	41	275	poison-point
nidorina	30	ニドリーナ	poison	-	70	62	67	55	55	56	365	poison-point
nidoqueen	31	ニドクイン	poison	ground	90	92	87	75	85	76	505	poison-point
nidoran-m	32	ニドラン♂	poison	-	46	57	40	40	40	50	273	poison-point
nidorino	33	ニドリーノ	poison	-	61	72	57	55	55	65	365	poison-point
nidoking	34	ニドキング	poison	ground	81	102	77	85	75	85	505	poison-point
clefairy	35	ピッピ	fairy	-	70	45	48	60	65	35	323	cute-charm
clefable	36	ピクシー	fairy	-	95	70	73	95	90	60	483	cute-charm
vulpix	37	ロコン	fire	-	38	41	40	50	65	65	299	flash-fire
ninetales	38	キュウコン	fire	-	73	76	75	81	100	100	505	flash-fire
jigglypuff	39	プリン	normal	fairy	115	45	20	45	25	20	270	cute-charm
wigglytuff	40	プクリン	normal	fairy	140	70	45	85	50	45	435	cute-charm
zubat	41	ズバット	poison	flying	40	45	35	30	40	55	245	inner-focus
golbat	42	ゴルバット	poison	flying	75	80	70	65	75	90	455	inner-focus
oddish	43	ナゾノクサ	grass	poison	45	50	55	75	65	30	320	chlorophyll
gloom	44	クサイハナ	grass	poison	60	65	70	85	75	40	395	chlorophyll
vileplume	45	ラフレシア	grass	poison	75	80	85	110	90	50	490	chlorophyll
paras	46	パラス	bug	grass	35	70	55	45	55	25	285	effect-spore
parasect	47	パラセクト	bug	grass	60	95	80	60	80	30	405	effect-spore
venonat	48	コンパン	bug	poison	60	55	50	40	55	45	305	compound-eyes
venomoth	49	モルフォン	bug	poison	70	65	60	90	75	90	450	shield-dust
diglett	50	ディグダ	ground	-	10	55	25	35	45	95	265	sand-veil
dugtrio	51	ダグトリオ	ground	-	35	100	50	50	70	120	425	sand-veil
meowth	52	ニャース	normal	-	40	45	35	40	40	90	290	pickup
persian	53	ペルシアン	normal	-	65	70	60	65	65	115	440	limber
psyduck	54	コダック	water	-	50	52	48	65	50	55	320	damp
golduck	55	ゴルダック	water	-	80	82	78	95	80	85	500	damp
mankey	56	マンキー	fighting	-	40	80	35	35	45	70	305	vital-spirit
primeape	57	オコリザル	fighting	-	65	105	60	60	70	95	455	vital-spirit
growlithe	58	ガーディ	fire	-	55	70	45	70	50	60	350	intimidate
arcanine	59	ウインディ	fire	-	90	110	80	100	80	95	555	intimidate
poliwag	60	ニョロモ	water	-	40	50	40	40	40	90	300	water-absorb
poliwhirl	61	ニョロゾ	water	-	65	65	65	50	50	90	385	water-absorb
poliwrath	62	ニョロボン	water	fighting	90	95	95	70	90	70	510	water-absorb
abra	63	ケーシィ	psychic	-	25	20	15	105	55	90	310	synchronize
kadabra	64	ユンゲラー	psychic	-	40	35	30	120	70	105	400	synchronize
alakazam	65	フーディン	psychic	-	55	50	45	135	95	120	500	synchronize
machop	66	ワンリキー	fighting	-	70	80	50	35	35	35	305	guts
machoke	67	ゴーリキー	fighting	-	80	100	70	50	60	45	405	guts
machamp	68	カイリキー	fighting	-	90	130	80	65	85	55	505	guts
bellsprout	69	マダツボミ	grass	poison	50	75	35	70	30	40	300	chlorophyll
weepinbell	70	ウツドン	grass	poison	65	90	50	85	45	55	390	chlorophyll
victreebel	71	ウツボット	grass	poison	80	105	65	100	70	70	490	chlorophyll
tentacool	72	メノクラゲ	water	poison	40	40	35	50	100	70	335	clear-body
tentacruel	73	ドククラゲ	water	poison	80	70	65	80	120	100	515	clear-body
geodude	74	イシツブテ	rock	ground	40	80	100	30	30	20	300	rock-head
graveler	75	ゴローン	rock	ground	55	95	115	45	45	35	390	rock-head
golem	76	ゴローニャ	rock	ground	80	120	130	55	65	45	495	rock-head
ponyta	77	ポニータ	fire	-	50	85	55	65	65	90	410	flash-fire
rapidash	78	ギャロップ	fire	-	65	100	70	80	80	105	500	flash-fire
