# 本編のトレーナー（docs/design/world.md §6）。
#
# ネームド（named.tsv）と分けてある。あちらは**キャラクター**で、
# ティアごとに構築が3つあり、台詞と戦術を持つ。こちらは**道中の1戦**で、
# 1人1構築・台詞はイベント側にある。
#
# reward は勝ったときの賞金。defeatedFlag は「もう戦った」印で、
# flags.json に宣言が要る（検証 #52）。
id	name	class	reward	defeatedFlag	before	after
kanto-rival-bulbasaur	グリーン	ライバル	175	kanto.pallet.rival-battled		
kanto-rival-charmander	グリーン	ライバル	175	kanto.pallet.rival-battled		
kanto-rival-squirtle	グリーン	ライバル	175	kanto.pallet.rival-battled		
kanto-route2-bug-catcher	リョウ	むしとりしょうねん	112	kanto.route2.bug-catcher-beaten	むしポケモンは よわくない!\nみせて やる!	うーん...\nもりの ほうが つよいのが いるぞ。
kanto-forest-bug-1	サトシ	むしとりしょうねん	144	kanto.forest.bug-1-beaten	この もりの むしは\nぼくが いちばん しってる!	ううっ...\nまだまだ あつめるぞ。
kanto-forest-bug-2	ケンジ	むしとりしょうねん	160	kanto.forest.bug-2-beaten	バタフリーの つよさを\nおしえて あげるよ!	そんな...\nバタフリーが まけるなんて。
kanto-pewter-gym-jr	ジロウ	ジムトレーナー	240	kanto.pewter.gym-jr-beaten	タケシさんに あいたければ\nぼくを たおしてからだ!	...つよいな。\nタケシさんは もっと つよいぞ。
kanto-brock	タケシ	ジムリーダー	1386	kanto.pewter.brock-beaten		
kanto-route3-lass	ミナミ	ミニスカート	192	kanto.route3.lass-beaten	かわいい ポケモンが すきなの。\nでも しょうぶは べつよ!	つよいのね。\nおつきみやまは くらいから きをつけて。
kanto-route3-youngster	タカシ	たんぱんこぞう	208	kanto.route3.youngster-beaten	はんズボンが ぼくの じまん!\nいくぞー!	まけたー!\nでも たのしかった!
kanto-moon-hiker	イワオ	やまおとこ	352	kanto.moon.hiker-beaten	この やまの いわは\nおれが いちばん しっとる!	うーむ みごとじゃ。\nおくに ロケットだんが おるぞ。
kanto-moon-rocket	ロケットだん	したっぱ	432	kanto.moon.rocket-beaten	ここは ロケットだんが かりた!\nかえれ かえれ!	ちくしょう...\nボスに しかられる。
kanto-route4-bug	ユウジ	むしとりしょうねん	240	kanto.route4.bug-beaten	しんかした むしポケモンは\nつよいんだぞ!	バタフリーも だめか...
kanto-cerulean-gym-jr	サチコ	ジムトレーナー	600	kanto.cerulean.gym-jr-beaten	みずの ジムに ようこそ!\nまずは わたしと!	...つよい。\nカスミさんは もっとよ。
kanto-misty	カスミ	ジムリーダー	2079	kanto.cerulean.misty-beaten		
