# 追加する種の日本語名。**この列だけは人が書く。**
# @pkmn/dex は英語名しか持たないので、突き合わせる相手が居ない
# ―― 他の列（種族値・タイプ・特性）を機械に任せた意味はここに集中している。
# tools/add-species.ts が読む。
steelix	ハガネール
tyranitar	バンギラス
kingdra	キングドラ
bellossom	キレイハナ
espeon	エーフィ
umbreon	ブラッキー
slowking	ヤドキング
houndoom	ヘルガー
hitmontop	カポエラー
scizor	ハッサム
blissey	ハピナス
crobat	クロバット
milotic	ミロカロス
manectric	ライボルト
gardevoir	サーナイト
hariyama	ハリテヤマ
banette	ジュペッタ
salamence	ボーマンダ
metagross	メタグロス
rhyperior	ドサイドン
roserade	ロズレイド
tangrowth	モジャンボ
toxicroak	ドクロッグ
magmortar	ブーバーン
electivire	エレキブル
garchomp	ガブリアス
abomasnow	ユキノオー
mamoswine	マンムー
glaceon	グレイシア
leafeon	リーフィア
mismagius	ムウマージ
dusknoir	ヨノワール
drapion	ドラピオン
togekiss	トゲキッス
scolipede	ペンドラー
chandelure	シャンデラ
excadrill	ドリュウズ
conkeldurr	ローブシン
sylveon	ニンフィア
